image,success,wheel_detections,keypoints_estimated,avg_confidence,quality_score,review_priority,out_of_frame_count,warnings,error
000040_jpg.rf.a0ea5f0dfca5582bc4a19d2dd1f378cd.jpg,True,2,5,0.8857,0.8857,LOW,0,,
000041_jpg.rf.9f11873b1f47c795da0d77b054b78014.jpg,True,2,5,0.8947,0.8547,LOW,2,,
000042_suv_side_view_white_background_jpg.rf.50f2fc232b02b3bddf215a356b9b83bb.jpg,True,2,5,0.8749,0.5449,HIGH,4,non_90_pov: excessive out-of-frame keypoints suggest non-lateral view/crop,
000044_jpg.rf.0d223f62b2f1ba2964dc208d972782ca.jpg,True,2,5,0.8959,0.8959,LOW,0,,
000044_suv_side_view_configurator_jpg.rf.71d003e6c1e3107494a9521e3d7205c3.jpg,True,2,5,0.7513,0.5513,HIGH,0,phase1_low_confidence: one or more Phase 1 keypoints below threshold,
000045_car_side_view_white_background_jpg.rf.9129381c5292ce0b13e8d2bcd1bcb981.jpg,True,2,5,0.9098,0.8898,LOW,1,,
000045_jpg.rf.f2d855b43b57b2b706333e9a1ae4420a.jpg,True,2,5,0.8430,0.5330,HIGH,3,non_90_pov: excessive out-of-frame keypoints suggest non-lateral view/crop,
000045_suv_side_view_press_release_jpg.rf.a6a7d58f85da3c281e3e218cdd2257d0.jpg,True,2,5,0.8479,0.8479,LOW,0,,
000046_jpg.rf.65e12d477b2e7d76f5b2a878524113a6.jpg,True,2,5,0.8815,0.5515,HIGH,4,non_90_pov: excessive out-of-frame keypoints suggest non-lateral view/crop,
000046_suv_side_view_press_release_jpg.rf.962e8eece9038776932bc4340d72cb32.jpg,True,2,5,0.7338,0.1838,HIGH,5,phase1_low_confidence: one or more Phase 1 keypoints below threshold | non_90_pov: excessive out-of-frame keypoints suggest non-lateral view/crop,
000058_jpg.rf.2c79b5059b8e2362a107b8fe21729b8f.jpg,True,2,5,0.8415,0.8015,LOW,2,,
car_side_profile__000019_jpeg.rf.d838a6686b356276bd9eecb8ba1963db.jpg,True,2,5,0.6342,0.1242,HIGH,3,phase1_low_confidence: one or more Phase 1 keypoints below threshold | non_90_pov: excessive out-of-frame keypoints suggest non-lateral view/crop,
sedan_side_view__000006_jpg.rf.9a189063f5f1d626e678ab2e49b2e687.jpg,True,2,5,0.7623,0.2323,HIGH,4,phase1_low_confidence: one or more Phase 1 keypoints below threshold | non_90_pov: excessive out-of-frame keypoints suggest non-lateral view/crop,
sedan_side_view_brochure__000007_jpg.rf.ffc2206cb17fc1fb64ff6fa4bf3030c1.jpg,True,2,5,0.5132,0.0000,HIGH,4,low_confidence: 15 keypoints below 0.5 | phase1_low_confidence: one or more Phase 1 keypoints below threshold | non_90_pov: excessive out-of-frame keypoints suggest non-lateral view/crop,
sedan_side_view_brochure__000018_jpg.rf.483e76f47bb65a46f6480904872d7778.jpg,True,2,5,0.5594,0.0000,HIGH,4,low_confidence: 7 keypoints below 0.5 | phase1_low_confidence: one or more Phase 1 keypoints below threshold | non_90_pov: excessive out-of-frame keypoints suggest non-lateral view/crop,
sedan_side_view_street__000007_jpg.rf.acadce2315d4f697168ae192eaecd3a0.jpg,True,2,5,0.8541,0.8541,LOW,0,,
sedan_side_view_street__000010_jpg.rf.d0ecbc763fc8b68491634d4272a6cef9.jpg,True,0,5,0.5428,0.0000,HIGH,0,"fallback_wheels: detector missed wheels, used image-geometry anchors | phase1_low_confidence: one or more Phase 1 keypoints below threshold",
side_profile_car_review__000004_jpg.rf.dd18c0d75928b4917f68b69af17c073a.jpg,True,2,5,0.2000,0.0000,HIGH,0,invalid_geometry: hood_edge not below roof_apex | invalid_geometry: front_bumper not below roof_apex | invalid_geometry: rear_bumper not below roof_apex | invalid_wheelbase: 0.0px (expected 40-5000) | low_confidence: 19 keypoints below 0.5 | phase1_low_confidence: one or more Phase 1 keypoints below threshold,
side_profile_car_review__000007_jpg.rf.72e964e7fda30d5af36704ae2de60b6f.jpg,True,2,5,0.2874,0.0000,HIGH,4,wheel_misalignment: front and rear wheels not level | low_confidence: 19 keypoints below 0.5 | phase1_low_confidence: one or more Phase 1 keypoints below threshold | non_90_pov: excessive out-of-frame keypoints suggest non-lateral view/crop,
side_profile_car_review__000010_jpg.rf.7c291b77f8558d170950258cd4541564.jpg,True,2,5,0.5200,0.2400,HIGH,1,low_confidence: 15 keypoints below 0.5 | phase1_low_confidence: one or more Phase 1 keypoints below threshold,
side_view_car_review__000004_jpg.rf.3b912cdb5dc46ea9d44b133ae5a39c0e.jpg,True,2,5,0.8406,0.8206,LOW,1,,
suv_side_view__000009_jpg.rf.98c4bf6c71e4cb71d4d448b7892ad8ac.jpg,True,2,5,0.7492,0.5292,HIGH,1,phase1_low_confidence: one or more Phase 1 keypoints below threshold,
suv_side_view__000013_jpg.rf.a8bb4d1d968cf9d5cf3e26f91a3935df.jpg,True,2,5,0.8207,0.8207,LOW,0,,
suv_side_view_brochure__000005_jpg.rf.73c03c16bbd274f16bfef9028cc20e8a.jpg,True,0,5,0.5428,0.0000,HIGH,0,"fallback_wheels: detector missed wheels, used image-geometry anchors | phase1_low_confidence: one or more Phase 1 keypoints below threshold",
suv_side_view_brochure__000013_jpg.rf.ecd28816e2ec4f866d8f057f699affdd.jpg,True,2,5,0.7338,0.5338,HIGH,0,phase1_low_confidence: one or more Phase 1 keypoints below threshold,
suv_side_view_street__000014_jpg.rf.9f6b5ea097e74ab94eca8e505d51042b.jpg,True,2,5,0.3842,0.0000,HIGH,3,wheel_misalignment: front and rear wheels not level | low_confidence: 15 keypoints below 0.5 | phase1_low_confidence: one or more Phase 1 keypoints below threshold | non_90_pov: excessive out-of-frame keypoints suggest non-lateral view/crop,
suv_side_view_street__000017_jpg.rf.d17e391f2afd1996e5908991ab7d13ae.jpg,True,2,5,0.2000,0.0000,HIGH,0,invalid_geometry: hood_edge not below roof_apex | invalid_geometry: front_bumper not below roof_apex | invalid_geometry: rear_bumper not below roof_apex | invalid_wheelbase: 0.0px (expected 40-5000) | low_confidence: 19 keypoints below 0.5 | phase1_low_confidence: one or more Phase 1 keypoints below threshold,
